City,latitude,longitude
Visakhapatnam,17.6868,83.2185
Vijayawada,16.5062,80.648
Itanagar,27.0844,93.6053
Guwahati,26.1445,91.7362
Patna,25.5941,85.1376
Muzaffarpur,26.1219,85.3647
Bhagalpur,25.2445,86.9718
Raipur,21.2514,81.6296
Bilaspur,22.0773,82.1409
Bhilai Nagar,21.2092,81.3665
Panaji,15.4909,73.8278
Ahmedabad,23.0225,72.5714
Vadodara,22.3072,73.1812
Surat,21.1702,72.8311
Rajkot,22.3039,70.8022
Faridabad,28.4089,77.3178
Gurugram,28.4595,77.0266
Yamunanagar,30.129,77.2808
Shimla,31.1048,77.1734
Baddi,30.9538,76.798
Ranchi,23.3441,85.3096
Jamshedpur,22.8046,86.2029
Bengaluru,12.9716,77.5946
Mysuru,12.2958,76.6394
Mangaluru,12.9141,74.856
Hubballi-Dharwad,15.3647,75.1239
Thiruvananthapuram,8.5241,76.9366
Kochi,9.9312,76.2673
Kozhikode,11.2588,75.7804
Indore,22.7196,75.8577
Bhopal,23.2599,77.4126
Gwalior,26.2183,78.1828
Mumbai,19.076,72.8777
Pune,18.5204,73.8567
Imphal,24.817,93.9368
Shillong,25.5788,91.8933
Aizawl,23.727107,92.717638
Dimapur,25.862989,93.771721
Bhubaneswar,20.296059,85.824539
Cuttack,20.46402,85.879113
Rourkela,22.23829,84.834549
Ludhiana,30.90101,75.857277
Jalandhar,31.326015,75.576182
Jaipur,26.912434,75.78727
Jodhpur,26.238947,73.024309
Udaipur,24.585445,73.712479
Gangtok,27.338936,88.606506
Chennai,13.08268,80.270721
Coimbatore,11.016844,76.955832
Madurai,9.925201,78.119775
Tiruchirappalli,10.790483,78.704674
Hyderabad,17.385044,78.486671
Warangal,18.006215,79.581184
Agartala,23.831457,91.286777
Dehradun,30.316495,78.032192
Haridwar,29.94569,78.164246
Nainital,29.398931,79.446915
Agra,27.17667,78.008075
Kanpur,26.449923,80.331871
Lucknow,26.846694,80.946166
Varanasi,25.31774,82.973914
Kolkata,22.572646,88.363895
Asansol,23.683334,86.98333
Durgapur,23.520399,87.31192
Haldia,22.056069,88.109863
